category,Relevant by ASReview LAB,Random relevant
1149,275,161
1150,275,161
1151,275,161
1152,275,161
1153,275,161
1154,275,162
1155,275,162
1156,275,162
1157,275,162
1158,275,162
1159,275,162
1160,275,162
1161,275,163
1162,275,163
1163,275,163
1164,275,163
1165,275,163
1166,275,163
1167,275,163
1168,275,164
1169,275,164
1170,275,164
1171,275,164
1172,275,164
1173,275,164
1174,275,164
1175,275,164
1176,275,165
1177,275,165
1178,275,165
1179,275,165
1180,275,165
1181,275,165
1182,275,165
1183,275,166
1184,275,166
1185,275,166
1186,275,166
1187,275,166
1188,275,166
1189,275,166
1190,275,167
1191,275,167
1192,275,167
1193,275,167
1194,275,167
1195,275,167
1196,275,167
1197,275,168
1198,275,168
1199,275,168
1200,275,168
1201,275,168
1202,275,168
1203,275,168
1204,275,169
1205,275,169
1206,275,169
1207,275,169
1208,275,169
1209,275,169
1210,275,169
1211,275,170
1212,275,170
1213,275,170
1214,275,170
1215,275,170
1216,275,170
1217,275,170
1218,275,171
1219,275,171
1220,275,171
1221,275,171
1222,275,171
1223,275,171
1224,276,171
1225,276,171
1226,276,172
1227,276,172
1228,276,172
1229,276,172
1230,276,172
1231,276,172
1232,276,172
1233,276,173
1234,276,173
1235,276,173
1236,276,173
1237,276,173
1238,276,173
1239,276,173
1240,276,174
1241,276,174
1242,276,174
1243,276,174
1244,276,174
1245,276,174
1246,276,174
1247,276,175
1248,276,175
1249,276,175
1250,276,175
1251,276,175
1252,276,175
1253,276,175
1254,276,176
1255,276,176
1256,276,176
1257,276,176
1258,276,176
1259,276,176
1260,276,176
1261,276,177
1262,276,177
1263,276,177
1264,276,177
1265,276,177
1266,276,177
1267,276,177
1268,276,178
1269,276,178
1270,276,178
1271,276,178
1272,276,178
1273,276,178
1274,276,178
1275,276,178
1276,276,179
1277,276,179
1278,276,179
1279,276,179
1280,276,179
1281,276,179
1282,276,179
1283,276,180
1284,276,180
1285,276,180
1286,276,180
1287,276,180
1288,276,180
1289,276,180
1290,276,181
1291,276,181
1292,276,181
1293,276,181
1294,276,181
1295,276,181
1296,276,181
1297,276,182
1298,276,182
1299,276,182
1300,276,182
1301,276,182
1302,276,182
1303,276,182
1304,276,183
1305,276,183
1306,276,183
1307,276,183
1308,276,183
1309,276,183
1310,276,183
1311,276,184
1312,276,184
1313,276,184
1314,276,184
1315,276,184
1316,276,184
1317,276,184
1318,276,185
1319,276,185
1320,276,185
1321,276,185
1322,276,185
1323,276,185
1324,276,185
1325,276,185
1326,276,186
1327,276,186
1328,276,186
1329,276,186
1330,276,186
1331,276,186
1332,276,186
1333,276,187
1334,276,187
1335,276,187
1336,276,187
1337,276,187
1338,276,187
1339,276,187
1340,276,188
1341,276,188
1342,276,188
1343,276,188
1344,276,188
1345,276,188
1346,276,188
1347,276,189
1348,276,189
1349,276,189
1350,276,189
1351,276,189
1352,276,189
1353,276,189
1354,276,190
1355,276,190
1356,276,190
1357,276,190
1358,276,190
1359,276,190
1360,276,190
1361,276,191
1362,276,191
1363,276,191
1364,276,191
1365,276,191
1366,276,191
1367,276,191
1368,276,192
1369,276,192
1370,276,192
1371,276,192
1372,276,192
1373,276,192
1374,276,192
1375,276,192
1376,276,193
1377,276,193
1378,276,193
1379,276,193
1380,276,193
1381,276,193
1382,276,193
1383,276,194
1384,276,194
1385,276,194
1386,276,194
1387,276,194
1388,276,194
1389,276,194
1390,276,195
1391,276,195
1392,276,195
1393,276,195
1394,276,195
1395,276,195
1396,276,195
1397,276,196
1398,276,196
1399,276,196
1400,276,196
1401,276,196
1402,276,196
1403,276,196
1404,276,197
1405,276,197
1406,276,197
1407,276,197
1408,276,197
1409,276,197
1410,276,197
